,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2018-12-01,269280.95409450965,548667.4480054821,238420.53191569517,341259.81972700835,343313.799642544,209008.74663122956,165278.01805757603,425050.7985862151,259723.8843519023,393877.5969509723,386549.7661315934,193062.6963713107,571101.6567477126,299520.9605428558,615549.2821057852,280679.9826312048,326590.1816843771,196960.85721628772,269360.1381234962,249438.38157086112,177977.0922396388,309644.6104641892,184031.861446759,185793.10482158372,200193.4131707277,262781.4616066419,192748.48705380372,356094.47124643944,191473.97438025917,294384.3691086948,288077.1257027383,235224.26839690816,154340.47204388294,201918.50374389358,143832.85264694385,137184.7953428765,153765.89397240218,119254.15584323439,263372.50212391914,219613.99996730968,258492.48336618472,137740.52904237204,163355.25923242455,150135.44331056107,268874.0007891636,246314.57162397975,135877.95074750678,205432.40694712926,175494.28139935675,157579.52359479977,150054.56539814302
2019-01-01,270031.66150606103,548191.186080464,239617.22970620854,342368.61596488813,344395.00853888993,209868.47441854686,166425.89795413954,424919.84618989937,261023.5411385584,394620.23267227324,388055.76262642705,193893.5528248926,572251.7495202477,300799.3102713067,615645.7902361238,281016.4052398932,328746.7809059747,198429.28231906053,270130.43179804634,250640.8588431588,178838.246711493,310331.9596514601,184709.7218632944,186605.55574583067,201367.07881317695,263047.2307433095,193919.28645254835,357469.80664877966,192275.47495346112,294591.56361352117,289936.36593876913,235825.025562735,155271.33974768684,203142.03510707757,144434.01001654033,137727.379583101,154706.30839874674,119518.4567934213,265649.3329467356,219674.33820542213,258640.8249872609,138462.80923245705,164099.96881073643,150652.3690141804,269907.96933801164,246857.82247836763,136404.57322005756,206404.7847055928,176289.8615528105,158265.32390552247,150950.85920147024
2019-02-01,271120.1098943375,546553.5560254701,240691.04794988522,343930.429905844,345712.2151214254,210626.15068559535,167844.13328398656,425431.6315065489,262594.544486886,395815.1863869154,390011.4392919705,195110.99774426853,572495.5892106489,302156.3678095723,615964.9147898183,281615.35257947654,331266.53423868533,199771.2701241315,271016.2067359486,252326.39110951638,180086.77178348767,311501.8515547826,185729.2641159913,187438.60435956158,202466.49508876688,263382.9818602295,195396.35555086203,359235.84722725925,192978.18059299295,295195.94273912226,293730.0000296987,236432.18941958912,156379.0471794589,204719.06504585044,145145.07594520066,138056.70061912303,155680.48136763292,119809.43191997986,267839.36494473455,220292.2319506364,259002.64442127492,139241.69483833862,164966.2232432425,151259.3164608969,271365.92301437986,247708.27694757783,136839.0708003603,207523.71507376258,177217.62537093638,159233.74153553,151967.3729451172
2019-03-01,272530.57735389,544698.1265933167,241417.17653416717,345623.58390910627,347455.8298181635,211281.65513956282,169379.45558719957,426564.51255689684,264124.7982504161,397689.98941721005,392138.8313959272,196256.00670933825,574138.1886630206,303482.73700657504,616553.2350328482,282605.79415021435,334079.0097753019,200962.78723691558,272394.21081599983,254221.02229785905,181636.4729487507,313137.1312636312,186801.69203481902,188398.0901836153,203598.13711792722,263850.32275845,196974.4629738048,360963.3196065308,193805.2597580473,296045.58259110124,,237255.33650123863,157664.335300046,206432.2626286976,145921.39560197588,138642.99438315188,156873.86522452856,120124.58100249972,270132.54884100525,221219.64876106873,259546.7538406737,140094.07656083885,166047.54354545093,152114.3246358468,272845.08168944396,249001.60247711383,137241.70084847417,208777.93131449047,178311.13683752622,160375.53206146526,152994.49306564618
2019-04-01,273930.6735796367,543633.205106264,241941.4864496584,347048.0241235479,349439.8776281543,211835.25869711384,170735.38517361405,428296.74288214167,265419.3558046054,399728.92556925653,394042.1859844322,197117.25503667773,576399.4412912022,304577.10136939434,617652.656657856,283888.48885430786,336287.9395885383,201942.89314177723,273935.1162042411,255843.12555476627,183025.22413448096,314869.75034759607,187667.98949119225,189252.72780454406,204622.68181458593,264344.82635402115,198318.94970117984,362314.72486497834,194835.84891048193,297239.3369790239,302392.9258759633,238180.69784822906,158670.0713280698,207826.72774084064,146743.7610770165,139350.42302667524,157876.2075851252,120411.02460735843,272436.6479233611,222006.8062717853,260118.6034297128,140889.4339742251,167008.93817020734,152972.53843024824,274162.6553541249,250494.8978903843,137753.46191968964,209972.9480683673,179282.9841748719,161313.39867996462,153779.14580349484
2019-05-01,274871.368922391,542995.6854487677,242223.28887004367,347861.80205583875,350957.33943072497,212332.71324399626,171784.62839359685,429519.36426134355,266368.9177089326,401504.92781409924,395046.38364318904,197501.4471290141,577946.9085024414,304918.38221603,618549.1335894362,285205.31826722657,337709.9587555625,202747.2317428945,275305.8019575697,256856.58621038997,184011.15715243746,316056.04860049736,188237.02772275158,190065.86992950516,205512.83056481092,264625.4942033169,199414.47229417425,363013.35096433625,196071.0436519316,298099.24712080444,304560.70640261733,238774.13265952314,159334.670530093,208846.1706133932,147458.5867143285,140038.9469080953,158619.1529168838,120498.7768114792,274645.2739712205,222658.56342035043,260402.90924220966,141444.03388527103,167687.51987486958,153594.44007993152,274707.5530972905,251791.9386413477,138172.77467474673,210900.6911143715,180101.26800439795,162026.95532497586,154269.5873776468
2019-06-01,275478.4397512093,542602.5500005018,242631.56232869884,348854.93219349993,352053.53749590396,212815.29906119104,172553.6982232708,430599.64304527297,267344.7032828856,402891.3079860125,395656.3333987289,197698.54043562186,578005.9350472846,305202.93119750236,619109.0694469685,286574.53319032537,338624.9582100604,203440.40426244654,276507.67879703786,257581.20886021535,184541.51712042736,316838.2180497844,188857.9973423624,190858.1971341014,206253.51439572618,264856.3117952899,200512.28097518996,363568.17967673537,197204.39936809568,298879.25700888364,306064.63535393326,239271.72419910986,159869.14813438556,209638.80974321158,148251.12407786245,140675.42094794067,159206.5899067598,120592.79723431707,276817.9034738137,223585.4365149855,260557.2401600316,141895.30975555492,168251.60196384252,154114.7343557442,274729.2530452658,253220.88006575336,138723.73546306824,211674.7523632571,180922.89922607807,162631.48555106935,154739.01644612497
2019-07-01,275926.59093223006,543015.678718851,243159.4659013731,349867.4825324022,352594.04318175075,213327.3241311711,172936.41914527316,431009.75701327744,268328.869906478,404111.17596212105,396110.75072866556,197591.50842471575,577684.4854793821,305451.1744057753,619491.6993684355,288183.32894332515,339503.1669050672,204142.84277218478,277701.2392939264,258090.8624883568,185045.116858774,317398.6811961354,189558.1645419564,191624.37325202604,206994.72039938913,265425.16833793273,201621.50204835073,363972.6658693818,198112.74963105228,299434.5054244367,307188.9014880907,239988.9016709201,160537.4943519471,210464.10890375252,148833.4601836865,141236.04088195146,159832.04737430633,120787.330743804,278998.7150431681,224588.74241595282,260747.6116811507,142311.31023933762,168653.97064652946,154592.09030895584,274469.9676957715,254623.59747457303,139331.3736256233,212304.90284294263,181611.40123838163,163096.5354589898,155267.3421111081
2019-08-01,276555.7863339922,544743.4999091289,243879.41602278376,351078.88789422926,353048.6165767393,213941.04546039586,173087.87826955155,431202.560654652,269535.85042546503,405425.53752162546,396914.37328531203,197486.52921945602,577723.3341192693,305979.0894947583,619520.69896681,289657.12076656526,340648.5035325973,204956.21940912088,279266.238503365,258582.1747841227,185371.97127444614,318003.8039478708,190293.10012926816,192378.93855006492,207814.30125972637,266213.6364606584,202793.70191234406,364580.3953046357,198816.4785626183,299988.29982260725,308247.72480689135,241219.44366106784,161331.82233682263,211265.76919423998,149257.23006368263,141591.2852232286,160567.9328799917,120823.96290942426,281291.8864620717,225317.00101548937,261024.95361282188,142770.06734611237,168990.80617299545,155199.45628724244,274458.63873392605,256312.0858261769,139875.59523279223,212909.50900999096,182320.92184987743,163433.59042585592,155760.61766612573
2019-09-01,277277.76686683355,547384.5388926613,244595.134051432,351741.116270375,353272.2673866839,214611.67245940588,173118.62295927558,431126.08433926315,270956.35680817947,406680.02608516713,397747.3799882115,197216.74578232775,578001.0209192584,306293.0402156373,619323.9995205905,290776.3576275913,342128.3213012041,205708.65527368415,280582.4035955603,258860.73748707215,185518.7970816062,318461.968838253,190960.12627156265,192945.36860614596,208599.2011186745,267003.83876278327,203836.65345797534,365104.13694029674,199389.16822629524,300602.0496129682,309319.99599235185,242306.25237269586,161943.55235084592,211955.27037514254,149289.3338736308,141562.17825930598,161232.93041152201,120681.20925901805,283434.5908363935,225583.8877595804,261100.32508823343,143114.53175755407,169126.89307861394,155711.26278208487,274267.0998274218,257547.85218912107,140165.0994132091,213447.4679277253,182965.04103282597,163710.02123334966,156174.42681420167
